      Step     Time          Energy          fmax
BFGS:    0 15:54:29    -1317.554252        5.188058
BFGS:    1 15:55:00    -1318.282497        3.535509
BFGS:    2 15:55:30    -1318.530839        2.641217
BFGS:    3 15:56:04    -1318.738518        2.648719
BFGS:    4 15:56:38    -1319.039293        0.579944
BFGS:    5 15:57:03    -1319.051121        0.281550
BFGS:    6 15:57:29    -1319.055084        0.292705
BFGS:    7 15:57:56    -1319.062296        0.304867
BFGS:    8 15:58:23    -1319.066057        0.212514
BFGS:    9 15:58:55    -1319.068645        0.083287
BFGS:   10 15:59:25    -1319.069169        0.026208
BFGS:   11 15:59:57    -1319.069233        0.013531
BFGS:   12 16:00:25    -1319.069236        0.003281
